"iso","area__ha"
"MYT",350106.82778544079014869
"VIR",319587.08432136433565874
"GRD",317417.09368730855015174
"BES",288110.88368488222649340
"MLT",258678.32623430879500056
"CYM",243842.83306265454716742
"KNA",237977.42481008005970304
"MDV",223301.70428633631665648
"XAD",187587.05058046219147928
"SPM",181307.33417148965704904
"ABW",162661.85260278094073430
"SYC",162143.45669831239292408
"VGB",147929.31256131203860822
"LIE",129630.4745754387173478
"JEY",100100.4156555080606626
"MSR",89510.08900246634905955
"FSM",82135.5559404942614384
"AIA",73465.76053130276129393
"GGY",70759.5004721245613274
"BMU",54464.94875423653830072
"MAF",49106.60004612905623780
"SMR",48978.823681496630795
"ATF",37539.89431712940662883
"SXM",33171.39443396560572024
"NFK",32500.79099866164760
"MAC",28109.77846156225656138
"BLM",21183.58943643173738967
"NRU",17721.86821071496134
"XPI",15753.7017289278712776
"XCL",8069.112786975431624
"GIB",5769.73172705381325176
"KIR",5518.7880402601024
"UMI",4850.43714500459451880
"MCO",1882.37987582826426792
"XSP",1505.22349972310976728
"VAT",423.024317472290524672
"TUV",399.2066799089014384
