title,全球树木覆盖率（按类型划分）
threshold,30
decile,30
extent_year,2020
date_downloaded,2024-11-05
metadata,https://api.resourcewatch.org/v1/gfw-metadata/wri_trees_in_mosaic_landscapes
link,https://www.globalforestwatch.org/dashboards/global/?category=land-cover&location=WyJnbG9iYWwiXQ%3D%3D
