"iso","name","fao_treecover_deforest__ha","fao_reforestation__ha","fao_expansion__ha","year"
"MHL","Marshall Islands","","","","2015-2020"
"MTQ","Martinique",160,0,360,"2015-2020"
"MRT","Mauritania",45380,4000,39930,"2015-2020"
"MUS","Mauritius",120,50,210,"2015-2020"
"MYT","Mayotte",60,10,10,"2015-2020"
"MEX","Mexico",165820,159200,38050,"2015-2020"
"FSM","Micronesia (Federated States of)","","","","2015-2020"
"MCO","Monaco",0,0,0,"2015-2020"
"MNG","Mongolia",1520,6500,410,"2015-2020"
"MNE","Montenegro",12000,1100,12000,"2015-2020"
"MSR","Montserrat","","","","2015-2020"
"MAR","Morocco",0,27010,11560,"2015-2020"
"MOZ","Mozambique",267030,1660,27780,"2015-2020"
"MMR","Myanmar",293920,"",4210,"2015-2020"
"NAM","Namibia","",0,"","2015-2020"
"NRU","Nauru",0,0,0,"2015-2020"
"NPL","Nepal",0,0,0,"2015-2020"
"NLD","Netherlands (Kingdom of the)",2190,10300,3120,"2015-2020"
"NCL","New Caledonia","","","","2015-2020"
"NZL","New Zealand",6580,5E+4,15780,"2015-2020"
"NIC","Nicaragua",105030,22640,5030,"2015-2020"
"NER","Niger",14920,15000,2500,"2015-2020"
"NGA","Nigeria",163310,16329.999999999998,10,"2015-2020"
"NIU","Niue","","","","2015-2020"
"NFK","Norfolk Island","","","","2015-2020"
"MKD","North Macedonia","",540,"","2015-2020"
"MNP","Northern Mariana Islands","","","","2015-2020"
"NOR","Norway",5820,18150,13620,"2015-2020"
"OMN","Oman","","","","2015-2020"
"PAK","Pakistan","","","","2015-2020"
"PLW","Palau","","","","2015-2020"
"PSE","Palestine","","","","2015-2020"
"PAN","Panama",12490,460,1080,"2015-2020"
"PNG","Papua New Guinea",33530,0,0,"2015-2020"
"PRY","Paraguay",279340,"",0,"2015-2020"
"PER","Peru",179090,"",6260,"2015-2020"
"PHL","Philippines","",280630,"","2015-2020"
"PCN","Pitcairn","","","","2015-2020"
"POL","Poland",770,54920,13370,"2015-2020"
"PRT","Portugal","","","","2015-2020"
"PRI","Puerto Rico","","","","2015-2020"
"QAT","Qatar",0,0,0,"2015-2020"
"KOR","Republic of Korea",1E+4,25000,0,"2015-2020"
"MDA","Republic of Moldova",340,2020,360,"2015-2020"
"ROU","Romania",20,27930,13630,"2015-2020"
"RUS","Russian Federation",0,944800,76230,"2015-2020"
"RWA","Rwanda","",1190,"","2015-2020"
"REU","Réunion",0,0,480,"2015-2020"
"BLM","Saint Barthélemy","",0,"","2015-2020"
"SHN","Saint Helena","",0,"","2015-2020"
"KNA","Saint Kitts and Nevis","","","","2015-2020"
"LCA","Saint Lucia","","","","2015-2020"
"SPM","Saint Pierre and Miquelon","",0,"","2015-2020"
"VCT","Saint Vincent and the Grenadines","",0,"","2015-2020"
"MAF","Saint-Martin (French Part)","",0,"","2015-2020"
"WSM","Samoa","","","","2015-2020"
"SMR","San Marino",0,0,0,"2015-2020"
"STP","Sao Tome and Principe",620,"",0,"2015-2020"
"SAU","Saudi Arabia","","","","2015-2020"
"SEN","Senegal",51000,10650,11000,"2015-2020"
"SRB","Serbia",40,4290,660,"2015-2020"
"SYC","Seychelles","","","","2015-2020"
"SLE","Sierra Leone","",270,"","2015-2020"
"SGP","Singapore",240,"",60,"2015-2020"
"SXM","Sint Maarten (Dutch part)","",0,"","2015-2020"
"SVK","Slovakia","",10470,"","2015-2020"
"SVN","Slovenia",2029.9999999999998,350,0,"2015-2020"
"SLB","Solomon Islands","",6000,"","2015-2020"
"SOM","Somalia",76750,"",0,"2015-2020"
"ZAF","South Africa",199000,1.0E+5,162600,"2015-2020"
"SSD","South Sudan","","","","2015-2020"
"ESP","Spain",3740,7690,7940,"2015-2020"
"LKA","Sri Lanka","",830,"","2015-2020"
"SDN","Sudan",264000,3E+4,93920,"2015-2020"
"SUR","Suriname",11650,"",570,"2015-2020"
"SJM","Svalbard and Jan Mayen Islands",0,0,0,"2015-2020"
"SWE","Sweden",13050,134720,13050,"2015-2020"
"CHE","Switzerland",1340,6670,4780,"2015-2020"
"SYR","Syrian Arab Republic","","",50,"2015-2020"
"TJK","Tajikistan","",2000,"","2015-2020"
